id,site,nom,version,trad_version,lien_trad,statut,tags,type_moteur,traducteur,relecteur,type_trad,ac,image_url,trad_url,translator_url
85358,F95z,Worlds of Wonders,P2 v0.3.3,P2 v0.3.2,Traduction,EN COURS,"3dcg, anal sex, animated, bdsm, big ass, big tits, creampie, fantasy, female domination, footjob, futa/trans, groping, handjob, interracial, lactation, lesbian, male domination, male protagonist, masturbation, milf, monster girl, multiple protagonist, oral sex, point & click, pov, prostitution, scat, sex toys, stripping, teasing, titfuck, transformation, urination, vaginal sex, virgin, voyeurism",RenPy,Taxarian,,Traduction Semi-Automatique,true,https://attachments.f95zone.to/2021/06/1264091_Title_Banner_Small.png,,
35910,F95z,WVM,S2 Ch.1 Ep.13 F,S2 Ch.1 Ep.13 F,Traduction,EN COURS,"3dcg, ahegao, anal sex, animated, big ass, big tits, cheating, creampie, futa/trans, graphic violence, group sex, handjob, harem, interracial, lesbian, male protagonist, masturbation, milf, mobile game, oral sex, pov, pregnancy, prostitution, romance, sex toys, teasing, titfuck, vaginal sex, virgin, voyeurism",RenPy,Frelon71,,Traduction Automatique,true,https://attachments.f95zone.to/2019/10/457723_457450_cover.png,,
35910,F95z,WVM Day in the Life of: Harper,Day in the Life of: Harper,Day in the Life of: Harper,Traduction,EN COURS,"3dcg, ahegao, anal sex, animated, big ass, big tits, cheating, creampie, futa/trans, graphic violence, group sex, handjob, harem, interracial, lesbian, male protagonist, masturbation, milf, mobile game, oral sex, pov, pregnancy, prostitution, romance, sex toys, teasing, titfuck, vaginal sex, virgin, voyeurism",RenPy,Frelon71,,Traduction Automatique,false,https://attachments.f95zone.to/2019/10/457723_457450_cover.png,,
69144,F95z,X-MASsive,v0.7,v0.7,Traduction,ABANDONNÉ,"3dcg, animated, dilf, female protagonist, handjob, oral sex, teasing",RenPy,Franky28,,Traduction Humaine,true,https://attachments.f95zone.to/2020/12/964100_patreon1.jpg,,
265007,F95z,XS Crossing Fate,v1.0,v1.0,Traduction,TERMINÉ,"3dcg, groping, male protagonist, oral sex, romance, vaginal sex",RenPy,RoadRenegat,,Traduction Humaine,true,https://attachments.f95zone.to/2025/08/5138121_Banner2.png,,
99121,F95z,XXX Files,Final,Final,Traduction,TERMINÉ,"2dcg, anal sex, big ass, fantasy, futa/trans, group sex, kinetic novel, lesbian, male protagonist, monster girl, parody, romance, sci-fi, tentacles",RenPy,Fx_oO7,,Traduction Automatique,true,https://attachments.f95zone.to/2021/11/1511184_1636293313738.png,,
59993,F95z,"Yes, We Are",Update 4,Update 4,Traduction,ABANDONNÉ,"3dcg, animated, big ass, big tits, kinetic novel, male protagonist, milf, mobile game, oral sex, voyeurism",RenPy,Franky28,,Traduction Humaine,true,https://attachments.f95zone.to/2020/08/799430_cover.jpg,,
144318,F95z,Yesterday's Crossroads,Ch.3 v0.4.1a,Ch.3 v0.4.1a,Traduction,EN COURS,"3dcg, anal sex, animated, creampie, groping, interracial, male protagonist, mobile game, oral sex, romance, vaginal sex, virgin",RenPy,Tomberaid,,Traduction Humaine,true,https://attachments.f95zone.to/2024/07/3880487_ch3_olivia_banner_small.jpg,,
39756,F95z,Yomi Alliance,Final,Final,Traduction,TERMINÉ,"3dcg, animated, female protagonist, male protagonist, rpg, sci-fi",RenPy,LeRebel71,,Traduction Semi-Automatique,true,https://attachments.f95zone.to/2019/11/463312_staracademy.jpg,,
56677,F95z,Young Again,S2 Ch.10 Public,Intégrée,Intégrée,EN COURS,"3dcg, animated, big ass, creampie, female domination, groping, handjob, lesbian, male protagonist, masturbation, milf, mobile game, oral sex, possession, pregnancy, romance, teasing, urination, vaginal sex, virgin, voyeurism",RenPy,Rory-Mercury91,,Traduction Semi-Automatique,true,https://attachments.f95zone.to/2021/06/1263615_1116721_banner_chicas2.jpg,,
